source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
ED Team,Curso: Inteligencia Artificial para todos (2025),Curso,$60,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/ia-2025,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Servicios de IA en Azure,Curso,$20,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/azure-ai,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Aprende Machine Learning desde cero con Scikit Learn,Curso,$20,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/scikit-learn,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,"Curso: Adobe Firefly, la IA generativa de Adobe",Curso,$25,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/firefly,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,"Curso: Supabase, Backend as a Service",Curso,$20,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/supabase,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Manejo de datos con Swift,Curso,$25,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/swift-datos,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Introducción a las arquitecturas limpias,Curso,$7,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/arquitectura-limpia,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Introducción al Testing E2E,Curso,$20,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/testing-java,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Kubernetes desde cero (2024),Curso,$35,USD,N/A,8 horas,N/A,N/A,N/A,https://ed.team/cursos/kubernetes,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Creación de imágenes en Midjourney,Curso,$20,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/midjourney,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: CI/CD con IA y GitHub Actions,Curso,$15,USD,N/A,2 horas,N/A,N/A,N/A,https://ed.team/cursos/github-actions,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Nest.js desde cero (2024),Curso,$30,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/nest,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Crea y publica librerías en NPM,Curso,$10,USD,N/A,2 horas,N/A,N/A,N/A,https://ed.team/cursos/npm,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,N/A,Curso,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/gratis,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Concurrencia y manejo de hilos en Java,Curso,$20,USD,N/A,6 horas,N/A,N/A,N/A,https://ed.team/cursos/java-concurrencia,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Domina Hugging face desde cero,Curso,$20,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/huggingface,N/A,N/A,N/A,N/A,N/A,N/A
